id,category,item_name,brand,retail_price,department,rank,sku
379,Socks,Gold Toe Men's ADC Aquafx Adams Rib Over the Calf Dress Sock,Gold Toe,10.99,Men,12107,50e76cd5ec3db998319d93304a664ab1
380,Shorts,Cutter & Buck Big & Tall Terrace Canvas Shorts,Cutter & Buck,68,Men,108560,ca00f608f7d8be26e6f9ea6063a8fb6a
381,Outerwear & Coats,Devon & Jones Pink Women's Signature Colorblock Jacket DP965W,Devon & Jones,25,Women,11432,a2430f841be0da9e2dc80375307cddfa
382,Plus,Sock It To Me Giraffe Knee High Sock (Light Green),Sock It To Me,25,Women,1757,7ecdb375669164dd1052395aa25bda2e
383,Shorts,Ed Garments Women's Flat Front Brass Zipper Cargo Short. 8468,Ed Garments,32.99,Women,199832,482727edbe03d6402d65bd9e8b7e382b
384,Outerwear & Coats,Carhartt Men's Big & Tall Duck Active Quilted Flannel Lined Jacket,Carhartt,109.99,Men,1013816,b99bd66ccf79c7f3dd99d49ab373a0ac
385,Pants,IZOD Men's Saltwater 5-Pocket Straight Fit Corduroy Pant,IZOD,39.99,Men,25693,1b8d040f412f4beefd094dde5d337a18
386,Swim,Rip Curl Men's Mirage Hektic Short,Rip Curl,69.5,Men,287155,4bbb6ecdc2e35cbd04a71d55bdb0ec16
387,Suits & Sport Coats,Mens Designer Blue Pattern Tuxedo for Men Vest Set Match Necktie Cufflinks Bowtie Hanky Set for Suit Y&G VS1020,Y&G,36.95,Men,183734,655b6a806db46d32ce042dcd8f3a5fbd
388,Jumpsuits & Rompers,Motel The Rowen Romper in Hyacinth,Motel,90,Women,896612,e61a93a3d735261d5466af80915d92d1
389,Pants,Dickies TP2477 Men's Sanded Duck Insulated Pant,Dickies,76.99,Men,143437,9348ae797078fcf4aeef8b912a6e99c6
390,Fashion Hoodies & Sweatshirts,Burnside Men's Chipper Solids Knit Hood Shirt,Burnside,25,Men,33423,ad6121a87a07a7c8e4a10a4014e0aff2
391,Intimates,Laura High Quality Sexy Aqua Seamless Bra Bikini SET #SL101069 Made in Colombia,Laura,34.95,Women,556994,dbd6bb474e5f5dc37c1f1a99db8cfd49
392,Underwear,Champion Men's Performance 2 Pack Stretch Boxer Brief,Champion,20,Men,416,3abb1f4676a56cbcd018f878d1bd6f26
393,Jeans,Not Your Daughters Jeans Charlotte Trouser Black,Not Your Daughter's Jeans,98,Women,279005,e195d96bea4099182eb34eb68026d23a
394,Swim,LUXE By Lisa Vogel - Pandora Flutter Bikini Top,LUXE By Lisa Vogel,73,Women,236679,f015f78fb3080f42d2bc578e64f92202
395,Sleep & Lounge,Tommy Hilfiger Women's Ribbed Henley/flannel Pajama Pant Gift Set,Tommy Hilfiger,40.8,Women,64875,04b124c62419b6ee6c76619de9fcfc2a
396,Outerwear & Coats,Armani Exchange Cotton PVC Moto Jacket,A:X Armani Exchange,160,Men,54365,0b745a25692274f03dc0b65b98cfe3df
397,Leggings,Leggings for Lady eM,B. B. Jeans Fashion,15,Women,447554,e57a088721cfa0b3f388652b3a31b286
398,Pants,Kenneth Cole Reaction Linen Leno Heather 044 Grey Flat Front Dress Pants,Kenneth Cole,52.5,Men,401396,43451d771afd7d0703a4cc4988cd9c3b
399,Accessories,Isotoner Women's Button Cashmere Lined Glove,Isotoner,36.99,Women,11865,35cdb4adc0069bdc4fa21042b0b315f9
400,Shorts,Joe's Jeans Women's Bright Color Short,Joe's Jeans,25,Women,109867,20d1c1bd39b01a4d60052c20d28d8312
401,Jeans,Seven7 Women's Skinny Snake77 Stone Jean,Seven7,69,Women,145880,760ca3e2a42aaadc5f0e4593ed7d82d3
402,Suits,ICE (2347) Pencil Skirt Stretch Sateen + Free Belt Silver Grey Size 6-16,Ice,25.99,Women,1237664,fee8be5533566b363763da137ef67273
403,Pants,Allegra K Men Elastic Waist Zip Fly Front Pockets Harem Trousers Black W30,Allegra K,18.56,Men,187259,f27e020c37986484e961fbedc9b9ce75
404,Maternity,Mother TuckerTM Compression Nursing Tank - Nude - M,Belly Bandit,79.95,Women,364394,81812bcabc5d4b793f84cd12c51eef9d
405,Sleep & Lounge,Harbor Bay Big & Tall Cotton Fleece Robe,Harbor Bay,86,Men,211005,af08c996bbdd4f5993156dbf85f89a34
406,Fashion Hoodies & Sweatshirts,Generation19 2 Tone Varsity Hoodie Jacket Women's,Honey Bun,24,Women,117755,d46ec0d7fd42520bb155ee5366f25bb9
407,Socks & Hosiery,K. Bell Socks Womens Merino Paisley Crew Socks,K. Bell,15,Women,39657,1e218b528903adbbfeb2f6a9f131f5ed
408,Pants,Kenneth Cole Men's Five Pocket Pant,Kenneth Cole,69.5,Men,42817,617442a5972a57f234175642ecda227b
409,Sleep & Lounge,Hanro Men's City Pajama Set,Hanro,230,Men,303098,689ed36b0fc1de9d8dec4450b56dfafb
410,Underwear,Hanes Men's Boxer Brief 4 Pack,Hanes,25,Men,2615,22e8c1052f99124b83890b4155520b2f
411,Maternity,Sweet Dreams Maternity Wear Maternity Tee,Sweet Dreams Maternity Wear,13.95,Women,181840,345b6ca68e2fcd0cc4e088ce5e7dba0d
412,Fashion Hoodies & Sweatshirts,Penn State Hooded Sweatshirt Gray Oval Lion,Nittany Outlet,19.99,Women,280009,21704744cd869a969eda0689ea4e4c69
413,Outerwear & Coats,Volcom Men's Armor Jacket,Volcom,230,Men,423504,20e58dc342e4fe69ce3386e57c44e5b0
414,Pants & Capris,Jones New York Women's Petite Bootleg Pant With Charmeuse Detail,Jones New York,99,Women,217475,c0326e9257e8c1310084d93d3bef0439
415,Sleep & Lounge,Majestic International Men's Grahams Cotton Long Sleeve Pajama Gift Set,Majestic International,42,Men,145092,a50294fa0fa616a95f46c38b56080ae3
416,Jumpsuits & Rompers,"Strappy Cotton Jumpsuit Romper, Summer Onesie",likemary,31,Women,774707,0f76ffa5e46a3d90b0b641eed69122fd
417,Underwear,Rated M Men's 2-Pack V-Neck T-Shirt,Rated M,34.5,Men,42922,c0f46cc2a5e1c2386bb73c2638cb4643
418,Plus,Gold Toe Women's 3-Pack Bermuda Turn Cuff Sock,Gold Toe,14,Women,10231,6372a13fd0ed1148f35338722085c81c
419,Tops & Tees,Lucky Brand Women's Tajine Tee,Lucky Brand,44.5,Women,66697,45f36c881f8f245d7a1bf6b986e18440
420,Accessories,X-Gear Men's Multi-Function Tool With LED Light,X-Gear,14.99,Men,7897,08f5c34f31aa9dbbf42755f09d2ed42c
421,Dresses,Elan Convertible Dress,Elan,36.99,Women,16364,b37a896cdac7f636f04813b8de481b95
422,Fashion Hoodies & Sweatshirts,Original Penguin Men's Got The Remedy Sweatshirt,Original Penguin,79,Men,150598,a457e7c6a9beb847a99e00ab0647a7ef
423,Intimates,Sexy Chiffon Babydoll Set-Black,SEX NIGHT,24,Women,95482,692c6d9d34b6c48ed37f1c195bf62eaa
424,Active,LRG Crew Sock,LRG,5,Men,13889,4e6ad3205a112af23390fe26b225b6dd
425,Sleep & Lounge,"Embroidered Khadi Silk Kurta Pajama Mens India Clothing (Brown, M)",Maple Clothing,69.48,Men,679329,7b59343e15fbbb837304d572fd670ad0
426,Pants,Savane Men's Big Sharkskin Dress Pant,Savane,49.99,Men,11675,bc9b164142caef51bd391357c270e353
427,Sweaters,US Polo Assn. Juniors Sweater With Big Pony,U.S. Polo Assn.,26.99,Women,75723,716ae23c29ba202003cf8e4860307493
428,Outerwear & Coats,Mountain Hardwear Women's Hunker Down Parka,Mountain Hardwear,250,Women,51792,c3014d9025f476eafbeae5172fb8a6da
429,Plus,Croakies Micro Suiter Eyewear Retainer,Croakies,6,Women,2656,c3061750833df90003866c17c4b6abd7
430,Jumpsuits & Rompers,Allegra K Ladies Layer Flouncing Upper Multi Wearing Printed Romper Pink Navy Blue XS,Allegra K,10.41,Women,1565979,1bff6bf0ef4b513ffc84f662107fcf33
431,Skirts,Anne Klein Women's Missy Yoke Skirt,Anne Klein,54,Women,52791,c38f28e2ee8a70f6fdf9a87eeabbe860
432,Sleep & Lounge,Texas Lone Star Flag Repeat Lounge Pants for men,Fun Boxers,18.5,Men,262290,62f57f7aede8448493e56f1297db66c4
433,Shorts,Calvin Klein Sportswear Men's Fine Line Plaid Short,Calvin Klein,52.13,Men,256861,2bbdcca147001e9b0bab9fea982d29ba
434,Sweaters,BCBGMAXAZRIA Women's Emmy Sweater Top,BCBGMAXAZRIA,139.99,Women,110469,6d2dfd61caac5bde8a60c913287e6bec
435,Pants & Capris,O'Neill Juniors Sophomore,O'Neill,51.95,Women,106963,d35a44852e7e586b108d2f494b71396c
436,Jumpsuits & Rompers,ROJAS 'Indian Jumper',Rojas,21.99,Women,1815003,e4755faca9f2b752b379b7fa57deaa91
437,Jeans,Diesel Women's Livier Jegging,Diesel,148,Women,186477,ecb206c7b188b06643ab6dd0c6f5e52a
438,Swim,parke & ronen Men's Angeleno 2-Inch Print Swim Trunk,Parke & Ronen,125,Men,174566,06343f3c08cc87aff69fb734e3427acf
439,Sleep & Lounge,HUGO BOSS Men's Woven Pajama Set,HUGO BOSS,83.3,Men,454490,5429e93bfecf88664402c172bf87d0d5
440,Swim,RVCA Civil Stripe 4-Way Stretch Boardshort - Aqua,RVCA,60,Men,351814,77971fac399efae540f99d80c2f12cf3
441,Active,Columbia Men's Meeker Peak Long Sleeve,Columbia,36,Men,2022,7170a59c102f9886a4db9dd84165b1c3
442,Pants,AG Adriano Goldschmied Men's Matchbox Perfect Slim Straight Pant,AG Adriano Goldschmied,178,Men,178014,5ca1df4d620a352eeb4c2b212ef43399
443,Active,Carhartt Men's Thermal-Lined Crewneck Sweatshirt,Carhartt,68,Men,32832,6d1bf2eb416ba472b04be62104fbfea2
444,Sweaters,Fred Perry Men's Zip Through Cardigan,Fred Perry,119,Men,16434,fe4467ab58a648222be69ba4a9a435c1
445,Swim,Hurley Men's Puerto Rico Space Phantom Boardshort,Hurley,64.95,Men,114256,9a2a6cd128ca0e08a7c6a1497e47a513
446,Outerwear & Coats,Marc New York by Andrew Marc Men's Cruz Soft Leather Open Bottom Jacket,Marc New York by Andrew Marc,251.25,Men,7043,c593826f144dd1706696fe0ad8798338
447,Underwear,"Men's Classic Satin Boxer Shorts, Pack of 5 Printed Boxers",Alexander Del Rossa,39.99,Men,5683,a9d9851ac0f1791a97c09d065c477ad9
448,Accessories,Carhartt Men's Camden Military Cap,Carhartt,19.5,Men,11312,6ad063ed39500b8977b184718529c58a
449,Socks,Icebreaker Men's Hike Mid Crew Sock,Icebreaker,20,Men,13824,20cd75f931561d11f1f534d04bd0ff61
450,Accessories,Timberland Men's Merino Cable Knit Cuff Beanie,Timberland,22.75,Men,3417,3d2ace6354f772cf6da3f1408b4cbb5f
451,Suits & Sport Coats,Tasso Elba Mens 2 Button Khaki Tan Silk Wool Sport Coat Jacket,Tasso Elba,119.99,Men,278423,d09198e0cced21b6cfe2380a605457c8
452,Swim,Quiksilver Men's Celtics Boardshort,Quiksilver,64.99,Men,207010,d318b6385fa60dab89b9c91880cdff93
453,Underwear,C-IN2 Men's Zen Crew Neck Tee,C-IN2,38,Men,116887,d8ae8793f6aaf9e318d48a39f3f35817
454,Sweaters,RetroFit Men's Black Heater Long Sleeve Striped Crew Neck Sweater Black,Retrofit,26.97,Men,152167,85a040ade2651129d7d88f4aa9ab774e
455,Tops & Tees,Dockers Men's Soft No Wrinkles Shirt,Dockers,25,Men,5693,b129dc153a941ad80051c90edad4b63a
456,Pants,Louis Raphael Men's Comfort Waist Dress Pant,Louis Raphael,44.99,Men,157024,951b4459ee295fb5e4180fb28d3aae16
457,Suits & Sport Coats,Tasso Elba Mens 2 Button Gray Windowpane Silk Wool Sport Coat Jacket,Tasso Elba,89.99,Men,113741,a6dbaf92cf850f00e760018bb852682a
458,Socks,UnderArmour Men's Charged Cotton No Show Socks 2-Pack,Under Armour,12.98,Men,53510,3071caa399a85fb231c5eac5df2df4f4
459,Shorts,Famous Stars and Straps Men's Fms Chino Twill Shorts,Famous Stars and Straps,40,Men,169463,98394c4025038aba1e54ffac6fb64dfb
460,Tops & Tees,"Wrangler Men's Cowboy Cut Work Western Long Sleeve Shirt, Blue Stonewashed",Wrangler,39.99,Men,4560,2fa0e05441e9057a571e0a7bd450bca2
461,Sweaters,Buffalo by David Bitton Men's Filip Sweater,Buffalo by David Bitton,119,Men,380234,7557408736199d169ff8fedcaf1ce2d4
462,Shorts,Insight Men's Cassetto Walkshort,Insight,44.95,Men,240746,0b00e9c4861a3fb99383254c1064bbd3
463,Underwear,Diesel Men's Luv Boxer Short,Diesel,35,Men,129748,7a9560b0cc15adddf7020175de5354e4
464,Socks,Over-the-Calf Compression Socks,KingSize,12.99,Men,90870,3cd94f964317c5ccabb92a4442158ef2
465,Underwear,Diesel Men's Randal T-Shirt,Diesel,39,Men,63594,36bd2ff04bcec888e00d8c775190f587
466,Pants,Dockers Men's Stain Defender D2 Straight Fit Flat Front Pant,Dockers,43.99,Men,44619,299bb8ae7179ebe36d6e8d1912ec1df5
467,Pants,Allegra K 2012 NEW Men Slant Pockets Elasticated Waist Stylish Woodland Camouflage Pants W32,Allegra K,19.82,Men,49916,88dc70c830e4c175f7fd52c58c9ab673
468,Underwear,"Indera - Mens Long Sleeve Thermal Top, Navy, 810LS 27465",INDERA THERMALS,13.75,Men,34230,54dbc900cb8b3a37dda898957e8706e8
469,Tops & Tees,U.S. Polo Assn. Men's Woven Shirt With Vertical Stripe,U.S. Polo Assn.,29.99,Men,7015,b26e165bd1b661f0441cdccf2857062e
470,Underwear,"Polo Ralph Lauren Classic Cotton Crew T-Shirt, 3-Pack",Ralph Lauren,37.99,Men,133213,9e182758fe211b01e7b244447f79d36a
471,Sweaters,Geoffrey Beene Men's Vest,Geoffrey Beene,25,Men,8455,b74345bd591fd0f8717909e50da3f884
472,Accessories,Ray-Ban Rb4147 Square Sunglasses,Ray-Ban,93,Men,7311,b59608e7df31c4b4870eca75446140b0
473,Sleep & Lounge,American Essentials Men's Velour Zip Up Hoody,American Essentials,69.45,Men,235194,7192d794007eba478851c9427ec54144
474,Sleep & Lounge,Joseph Abboud Men's Gift Set Henley Top With Flannel Pant,Joseph Abboud,31.99,Men,12228,2a3d044f75247e5e5eea8589177ff1fc
475,Jeans,Rock Revival Men Jeans Tony T Straight Leg Fleur Flap Dark Blue Wash,Rock Revival,148,Men,110438,b24cce80d05608a94eb13a95ecbbcd13
476,Socks,Calvin Klein 4 Pack Mens Fashion Dress Socks (2-Solid/2-Patterned),Calvin Klein,34.95,Men,155689,d0aee2889e54cb26a9450600e38b5328
477,Active,Champion Men's Long Sleeve Tee,Champion,22,Men,163,ca45161e1ec282064f612acc6c5fc8b5
478,Sleep & Lounge,Intimo Men's Micro Fleece Printed Pajama Pant,Intimo,25,Men,1312,b59f61d58e88edfcb9417546cb7db960
479,Fashion Hoodies & Sweatshirts,FMF Racing Men's Mayday Top,FMF,41.99,Men,190397,b777799c591a58877275a1e76d7e03e7
480,Shorts,Hurley Men's Puerto Rico Suiting Mens Walkshort,Hurley,29.99,Men,147203,f48d620c520bbc3565d767026a1fa47a
481,Suits & Sport Coats,Paul Malone Wedding Vest Set Silver Black 4pcs Tuxedo Vest + Necktie + Hanky + 2 Cufflinks,Paul Malone,47.9,Men,287932,27f37a7c5939648f0456e2861c95c7b6
482,Pants,Vintage 1946 Men's Military Twill,Vintage,95,Men,651976,950573ebb0bd85371b3e3142d710b68c
483,Suits & Sport Coats,Dickies WP114 Cotton Pleated Front Pant,Dickies,42,Men,41989,ca6e78f403be336ba7d68963457ff6e8
484,Outerwear & Coats,Carhartt Men's Sandstone Hooded Active Vest Quilt Lined,Carhartt,59.99,Men,51150,c06fee69d45d88d0b6dbcd9fca7e4c1b
485,Suits & Sport Coats,Howe Men's Personal Jesus Blazer,Howe,199,Men,385136,dfab2314b6baba97f89d5ef79e1c5de0
486,Maternity,A Pea in the Pod: Seamless Nursing Sleep Bra,A Pea in the Pod,34.5,Women,22546,ed2a7e6bbfc76eade79386a223e72726
487,Shorts,Orange French Terry Shorts with Drawstring and Side Pockets,FineBrandShop,7.9,Women,447077,d4cc2e9460bc739d1b4a34c3ecf9181a
488,Suits,Tahari Zara Pant Suit,Tahari,111.98,Women,1485343,e90665390b871d7ee96c1a4674e7af25
489,Sweaters,Woolrich Women's Denton Hill Sweater Coat,Woolrich,175,Women,48513,e0bca7dfbdcaa83024b7ab7a1c0b7558
490,Shorts,7 For All Mankind Women's Relaxed Mid Roll Up Short Authentic Nakita,7 For All Mankind,178,Women,224868,59666b50064e3eaefa75ed85da574e9d
491,Fashion Hoodies & Sweatshirts,Paul Frank Julius Rock Friendz Hoodie Junior,Paul Frank,58,Women,85231,92bc1272ca846164fd70078d5d705269
492,Active,Alki'i 2-Pack Junior Womens lounge/workout/gym/yoga pants,Alki'i,27.99,Women,2550,39d80e03ab748461e8072019912c6370
493,Jumpsuits & Rompers,Allegra K Women Button Closure Three Tone Flounced Summer Romper Navy Blue S,Allegra K,9.45,Women,1147956,3452cd89d114471168c7fe34d067ece6
494,Suits,Suit Studio New Bloom Pant Suit,Suit Studio,98.08,Women,800989,33673d4f8200a72d5b7e5bcce1321696
495,Jeans,Not Your Daughter's Jeans Women's Plus-Size Michelle Jean Trouser,Not Your Daughter's Jeans,83.99,Women,85350,a07e07e3b59877bc7cb0c86658ed51a1
496,Leggings,Anna-Kaci S/M Fit Black Slim High Waisted Vertical Stiped Front Long Leggings,Anna-Kaci,15.9,Women,143954,47d4ec642b294d4d40be22e5498a2b57
497,Outerwear & Coats,Merrell Women's Delilah Long Fleece Sweater Jacket,Merrell,99,Women,71365,b588cfed535474dce59f190ac8589316
498,Accessories,Premium Soft Knit Striped Scarf - Different Colors Available,TrendsBlue,9.99,Women,13187,a8eb817237ea342471e3f6fe5f5e5d2d
499,Outerwear & Coats,Via Spiga Women's Caserta Faux Fur Trim Belted Down Filled Satin Coat,Via Spiga,79.99,Women,25340,a57f36b79454b6f5e235f2a4ead727ff
500,Jumpsuits & Rompers,Allegra K Ladies Ruffled Decor Sleeveless Short Jumpsuit XS White,Allegra K,13.57,Women,1528905,7972a95ee9d913ef04505e78c9e36f5f
